FeatureExtractor,Model,Accuracy,TrainTime,FeatureGenTime
ResNet50,SVM,0.9,0.10317206382751465,40.993361473083496
ResNet50,MLP,0.89,0.0,40.993361473083496
ResNet50,RandomForest,0.9033333333333333,0.017164230346679688,40.993361473083496
MobileNetV2,SVM,0.9133333333333333,0.031905412673950195,16.377127170562744
MobileNetV2,MLP,0.9133333333333333,0.0040857791900634766,16.377127170562744
MobileNetV2,RandomForest,0.9266666666666666,0.008012056350708008,16.377127170562744
EfficientNetB0,SVM,0.9233333333333333,0.03886532783508301,18.909906148910522
EfficientNetB0,MLP,0.91,0.0010008811950683594,18.909906148910522
EfficientNetB0,RandomForest,0.9133333333333333,0.010833263397216797,18.909906148910522
Stanford-MAT,LinearSVC,0.48846153846153845,0.0,0.0
Stanford-MAT,LogisticRegression,0.44487179487179485,0.0,0.0
Stanford-MAT,ExtraTrees,0.36923076923076925,0.0,0.0
